SuperCategory,Category,Subcategory,QuestionID,QuestionText,ResponseID,ResponseText
revamp,immunisation,immunisation,1,tika bachee ko lagbana hai do mahene ki ho gai,1,Contact your Anganwadi worker or ASHA immediately for all the required vaccines. Please do not delay
revamp,immunisation,immunisation,1,tika bachee ko lagbana hai do mahene ki ho gai,2,immunisation chart
revamp,baby care,baby weight,2,"Bacche Di sehat Nahi bandi baccha kamjor va
2 month Bacche de janam de time bacche da weight 2 kg 40gm si bacchaaaj do month da hai ta bacche da 2kg 70 GM hai
8 time",3,"Send kmc
Ebf
Latching technique
Immunisation
For.motjer 
Diet and supplementation"
revamp,baby care,baby weight,2,"Bacche Di sehat Nahi bandi baccha kamjor va
2 month Bacche de janam de time bacche da weight 2 kg 40gm si bacchaaaj do month da hai ta bacche da 2kg 70 GM hai
8 time",4,"It is good that the baby's weight has improved this much because of your love and care. You should continue your efforts as the weight should be about 1 kg more.
Give only breastfeeds to the baby till 6 months, add soft solids after that along with breastfeeds. Continue all vaccines and regular check ups"
revamp,baby care,baby weight,2,"Bacche Di sehat Nahi bandi baccha kamjor va
2 month Bacche de janam de time bacche da weight 2 kg 40gm si bacchaaaj do month da hai ta bacche da 2kg 70 GM hai
8 time",5,"make sure to check with the doctor when you can begin to give bath. this is because your baby was born pre term and you need to make sure that all is ok before you proceed. Speak to your doctor. along with this, we recommend that you practice KMC ( add how to do kmc ) doing this will help to increase the weight of the baby, feed the baby only breastmilk every 2-3 hours."
revamp,baby care,baby weight,2,"Bacche Di sehat Nahi bandi baccha kamjor va
2 month Bacche de janam de time bacche da weight 2 kg 40gm si bacchaaaj do month da hai ta bacche da 2kg 70 GM hai
8 time",6,"The weight of the baby is slowly going to increase . It will take 2-3 weeks more to regain the weight same as the birth weight. After that, the weight gain would be more. Please continue to follow your doctor's advice. Feed breastmilk and give the medicines as prescribed. Keep your house warm and do KMC. Remember to take the baby for vaccines and check ups at hospital as adviced."
revamp,baby care,baby weight,2,"Bacche Di sehat Nahi bandi baccha kamjor va
2 month Bacche de janam de time bacche da weight 2 kg 40gm si bacchaaaj do month da hai ta bacche da 2kg 70 GM hai
8 time",7,"exclusive breastfeeding, KMC and burping message.Immunisation too And mothers diet
plus PNC diet and regular weight check at the nearby centre. Talk TM the doctor in person if possible"
revamp,baby care,baby weight,2,"Bacche Di sehat Nahi bandi baccha kamjor va
2 month Bacche de janam de time bacche da weight 2 kg 40gm si bacchaaaj do month da hai ta bacche da 2kg 70 GM hai
8 time",8,"exclusive breastfeeding , burping message and KMC. immunisation and frequent hospital visits to assess progress of the child"
revamp,baby care,baby weight,2,"Bacche Di sehat Nahi bandi baccha kamjor va
2 month Bacche de janam de time bacche da weight 2 kg 40gm si bacchaaaj do month da hai ta bacche da 2kg 70 GM hai
8 time",9,"Exclusive breastfeeding , burping and KMC message. immunisation"
revamp,baby care,baby weight,2,"Bacche Di sehat Nahi bandi baccha kamjor va
2 month Bacche de janam de time bacche da weight 2 kg 40gm si bacchaaaj do month da hai ta bacche da 2kg 70 GM hai
8 time",10,"exclusive breast feeding technique
this will be decided by the doctor. We recommend that you do not try feeding anything else to to the child unless recommended by the doctor of the child department of a government hospital. Along with this make sure that the mother is eating a well balanced nutritious diet and is taking her supplementation. Send pnc diet"
